time,pwm_r,pwm_l
2.285099945068359375e+02,8.401010894775390625e+01,6.598989105224609375e+01
2.285199890136718750e+02,8.400996398925781250e+01,6.599003601074218750e+01
2.285299987792968750e+02,8.400981903076171875e+01,6.599018096923828125e+01
2.285399932861328125e+02,8.400966644287109375e+01,6.599033355712890625e+01
2.285499877929687500e+02,8.400952148437500000e+01,6.599047851562500000e+01
2.285599975585937500e+02,8.400936889648437500e+01,6.599063110351562500e+01
2.285699920654296875e+02,8.400921630859375000e+01,6.599077606201171875e+01
2.285800018310546875e+02,8.400907897949218750e+01,6.599092102050781250e+01
2.285899963378906250e+02,8.400892639160156250e+01,6.599107360839843750e+01
2.285999908447265625e+02,8.400878143310546875e+01,6.599121856689453125e+01
2.286100006103515625e+02,8.400862884521484375e+01,6.599137115478515625e+01
2.286199951171875000e+02,8.400848388671875000e+01,6.599151611328125000e+01
2.286299896240234375e+02,8.400833129882812500e+01,6.599166870117187500e+01
2.286399993896484375e+02,8.400817871093750000e+01,6.599181365966796875e+01
2.286499938964843750e+02,8.400804138183593750e+01,6.599195861816406250e+01
2.286599884033203125e+02,8.400789642333984375e+01,6.599211120605468750e+01
2.286699981689453125e+02,8.400774383544921875e+01,6.599225616455078125e+01
2.286799926757812500e+02,8.400759124755859375e+01,6.599240112304687500e+01
2.286900024414062500e+02,8.400744628906250000e+01,6.599255371093750000e+01
2.286999969482421875e+02,8.400729370117187500e+01,6.599269866943359375e+01
2.287099914550781250e+02,8.400715637207031250e+01,6.599284362792968750e+01
2.287200012207031250e+02,8.400700378417968750e+01,6.599299621582031250e+01
2.287299957275390625e+02,8.400685882568359375e+01,6.599314117431640625e+01
2.287399902343750000e+02,8.400670623779296875e+01,6.599329376220703125e+01
2.287500000000000000e+02,8.400656127929687500e+01,6.599343872070312500e+01
2.287599945068359375e+02,8.400640869140625000e+01,6.599359130859375000e+01
2.287699890136718750e+02,8.400627136230468750e+01,6.599372863769531250e+01
2.287799987792968750e+02,8.400611877441406250e+01,6.599388122558593750e+01
2.287899932861328125e+02,8.400597381591796875e+01,6.599403381347656250e+01
2.287999877929687500e+02,8.400582122802734375e+01,6.599417877197265625e+01
2.288099975585937500e+02,8.400567626953125000e+01,6.599432373046875000e+01
2.288199920654296875e+02,8.400552368164062500e+01,6.599447631835937500e+01
2.288300018310546875e+02,8.400538635253906250e+01,6.599462127685546875e+01
2.288399963378906250e+02,8.400523376464843750e+01,6.599476623535156250e+01
2.288499908447265625e+02,8.400508880615234375e+01,6.599491882324218750e+01
2.288600006103515625e+02,8.400493621826171875e+01,6.599506378173828125e+01
2.288699951171875000e+02,8.400479125976562500e+01,6.599520874023437500e+01
2.288799896240234375e+02,8.400463867187500000e+01,6.599536132812500000e+01
2.288899993896484375e+02,8.400450134277343750e+01,6.599550628662109375e+01
2.288999938964843750e+02,8.400434875488281250e+01,6.599565124511718750e+01
2.289099884033203125e+02,8.400419616699218750e+01,6.599580383300781250e+01
2.289199981689453125e+02,8.400405120849609375e+01,6.599594879150390625e+01
2.289299926757812500e+02,8.400390625000000000e+01,6.599609375000000000e+01
2.289400024414062500e+02,8.400375366210937500e+01,6.599624633789062500e+01
2.289499969482421875e+02,8.400360107421875000e+01,6.599639129638671875e+01
2.289599914550781250e+02,8.400346374511718750e+01,6.599653625488281250e+01
2.289700012207031250e+02,8.400331878662109375e+01,6.599668884277343750e+01
2.289799957275390625e+02,8.400316619873046875e+01,6.599683380126953125e+01
2.289899902343750000e+02,8.400301361083984375e+01,6.599697875976562500e+01
2.290000000000000000e+02,8.400286865234375000e+01,6.599713134765625000e+01
2.290099945068359375e+02,8.400271606445312500e+01,6.599727630615234375e+01
2.290199890136718750e+02,8.400257873535156250e+01,6.599742126464843750e+01
2.290299987792968750e+02,8.400242614746093750e+01,6.599757385253906250e+01
2.290399932861328125e+02,8.400228118896484375e+01,6.599771881103515625e+01
